,year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
176,2015,Green Ridge Service LLC,Missing,W0336,Altamont Infrastructure Company - 01W144 - Retired 11/1/2015,CA,34.7,18838,18838
177,2015,Green Ridge Service LLC,Missing,W0348,Flowind 3-4 - Retired 10/31/2015,CA,5.0,6756,6756
178,2015,Hatchet Ridge Wind LLC,56654,W0369,Hatchet Ridge Wind LLC,CA,101.2,266264,266264
179,2015,International Turbine Research,10005,W0354,International Turbine Research Inc. (Retired June 14 2018),CA,18.6,27015,27015
180,2015,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,135.0,137070,137070
181,2015,Mesa Wind Power Corporation,50535,W0260,Mesa Wind Power Corporation,CA,29.9,9323,9323
182,2015,Mojave 16/17/18 LLC,50822,W0313,Mojave 16 17 18 (Mojave 16-17-18  (Desertwind III PPC Trust) - 6063-6114),CA,83.1,97766,97766
183,2015,NextEra Energy Resources LLC,57201,W0371,FPL Energy Montezuma Winds LLC,CA,36.8,97109,97109
184,2015,NextEra Energy Resources LLC,57701,W0392,Montezuma Wind II,CA,78.2,219504,219504
185,2015,NextEra Energy Resources LLC,57700,W0394,Vasco Wind Energy Center,CA,78.2,247875,247875
186,2015,NextEra Energy Resources LLC,50013,W0423,Diablo Wind LLC,CA,18.0,63229,63229
187,2015,North Sky River Energy LLC,58121,W0414,North Sky River LLC,CA,160.0,405281,405281
188,2015,Not Available,50552,W0258,Cabazon Wind Partners LLC,CA,40.9,104409,104409
189,2015,Not Available,50532,W0271,Wind Stream Operations 6039 (Zond Systems  Inc - 6039),CA,6.3,6517,6517
190,2015,Not Available,50532,W0272,Wind Stream Operations 6040 (Zond Systems  Inc - 6040),CA,6.7,8520,8520
191,2015,Not Available,50532,W0273,Wind Stream Operations 6041 (Zond Systems  Inc - 6041),CA,4.5,6342,6342
192,2015,Not Available,56570,W0274,Wind Stream Operations 6042 (Zond Systems  Inc - 6042),CA,6.3,9236,9236
193,2015,Not Available,52161,W0275,85A (Zond Systems  Inc - 6043),CA,14.1,13346,13346
194,2015,Not Available,52163,W0276,85B (Zond Systems  Inc - 6044),CA,21.1,17296,17296
195,2015,Not Available,50536,W0289,Sky River Partnership (ESI Energy  Inc - 6065),CA,76.9,130590,130590
196,2015,Not Available,Missing,W0304,Victory Gardens IV (6103),CA,20.7,31616,31616
197,2015,Not Available,52161,W0306,Terra-Gen 251 Wind (Zond Monolith X),CA,15.7,21615,21615
198,2015,Not Available,Missing,W0310,Wind Stream Operations 6111 (AES Tehachapi Wind - Zond Systems  Inc - Northwind),CA,6.3,6540,6540
199,2015,Not Available,50533,W0311,Painted Hills Wind Developers (Zond Systems Inc - 6112),CA,19.2,31805,31805
200,2015,Not Available,50534,W0331,Santa Clara 85C - Decommissioned 7/1/2016,CA,16.0,23035,23035
201,2015,Oasis Power Partners LLC,56302,W0385,Oasis Power Partners LLC,CA,60.0,154183,154182
202,2015,Pettern Energy (Ocotillo LLC),57514,W0409,Ocotillo Express LLC,CA,265.4,538350,538350
203,2015,Ridgetop Energy LLC,54931,W0265,Ridgetop Energy II (Cannon Energy Corp),CA,46.9,130227,130227
204,2015,Ridgetop Energy LLC,10597,W0297,Ridgetop Energy (Cannon Energy Corp - 6092),CA,28.5,55652,55652
205,2015,San Gorgornio Farms Inc,50281,W0261,San Gorgonio Farms Wind Farm,CA,31.0,79200,79200
206,2015,San Gorgornio Farms Inc,10718,W0286,Karen Avenue Wind Farm,CA,11.7,28755,28755
207,2015,Seawest Energy Group,54258,W0277,Phoenix Wind (Section 20 Trust),CA,2.1,5798,5798
208,2015,Seawest Energy Group,50820,W0278,East Winds Project (NAWP Inc),CA,4.2,4930,4930
209,2015,Seawest Energy Group,40485,W0292,Altech III (NAWP Inc. - 6087),CA,25.1,29139,29139
210,2015,Seawest Energy Group,Missing,W0298,Seawest Industries  Inc San Jacinto - Retired 11/1/2015,CA,1.6,89,89
211,2015,Seawest Energy Group,57302,W0299,Green Power I (Dutch Energy Corp),CA,16.5,25399,25399
212,2015,Seawest Energy Group,56075,W0355,High Winds,CA,162.0,344619,344619
213,2015,Seawest Energy Group,58092,W0356,Solano Wind 3 (SMUD Solano Phase 1),CA,127.8,357541,357541
214,2015,See WPRS for details,Missing,W0259,Mogul Energy,CA,4.0,1504,1504
215,2015,See WPRS for details,50386,W0262,Windland Inc Boxcar I,CA,7.3,10878,10878
216,2015,See WPRS for details,Missing,W0266,CTV Management Group - 6029 - Merged with W0463 - 12/31/2015,CA,7.5,19158,19158
217,2015,See WPRS for details,54299,W0280,CTV Management Group - Merged with W0463 - 12/31/2015,CA,3.0,8592,8592
218,2015,See WPRS for details,Missing,W0301,Windland Inc Boxcar II,CA,7.8,13034,13034
219,2015,See WPRS for details,50754,W0319,Oak Creek Wind Power,CA,31.5,54514,54514
220,2015,See WPRS for details,50712,W0322,Altamont Pass Windplant -Retired 11/1/2015,CA,87.6,15548,15548
221,2015,See WPRS for details,Missing,W0333,ALTAMONT-  01W035 - Retired 10/31/2015,CA,50.0,74709,74709
222,2015,See WPRS for details,Missing,W0337,ALTAMONT - 01W146A - Retired 10/31/2015,CA,30.0,49080,49080
223,2015,See WPRS for details,Missing,W0340,ALTAMONT - 01W146D - Retired 11/1/2015,CA,15.0,4735,4735
224,2015,See WPRS for details,50001,W0346,Altamont Midway Ltd - Retired 4/1/2015,CA,9.0,0,0
225,2015,See WPRS for details,Missing,W0347,ALTAMONT - 16W011 - Retired 10/31/2015,CA,10.0,16974,16974
226,2015,See WPRS for details,Missing,W0353,Dyer Road - Retired 4/1/2015,CA,7.4,0,0
227,2015,See WPRS for details,10586,W0360,Mountain View III,CA,22.4,71124,71124
228,2015,See WPRS for details,54686,W0374,Difwind Farms Ltd VI,CA,23.3,29361,29360
229,2015,See WPRS for details,10815,W0375,Difwind VII - Retired 11/1/2015,CA,21.4,23781,23781
230,2015,See WPRS for details,Missing,W0377,DifWind IX - Retired 11/1/2015,CA,13.6,10392,10392
231,2015,See WPRS for details,54453,W0380,EDF Renewable Windfarm V Inc (ENXCO V),CA,15.9,30288,30288
232,2015,See WPRS for details,Missing,W0382,Alta Mesa Phase III - In Litigation - No reporting,CA,28.2,14449,14449
233,2015,See WPRS for details,Missing,W0390,Golden Acorn Casino,CA,1.0,3529,3529
234,2015,See WPRS for details,Missing,W0413,WAGNER WIND LLC,CA,6.0,16158,16158
235,2015,See WPRS for details,Missing,W0420,Manzana Wind,CA,189.0,454682,454682
236,2015,See WPRS for details,Missing,W0421,Shiloh III Wind Project LLC,CA,102.5,269955,269955
237,2015,See WPRS for details,Missing,W0422,Shiloh IV Wind Project LLC,CA,100.0,300765,300765
238,2015,See WPRS for details,Missing,W0426,Buena Vista Energy LLC,CA,38.0,98279,98279
239,2015,See WPRS for details,Missing,W0429,Helzel & Schwarzhoff 88 (Decommissioned 3/31/2016),CA,1.5,2157,2157
240,2015,See WPRS for details,Missing,W0430,Mountain View IV,CA,49.0,159388,159388
