year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
2016,Mesa Wind Power Corporation,50535,W0260,Mesa Wind Power Corporation,CA,29.9,7307,7307
2016,Mojave 16/17/18 LLC,50822,W0313,Mojave 16 17 18 (Mojave 16-17-18  (Desertwind III PPC Trust) - 6063-6114),CA,83.6,119017,119017
2016,NextEra Energy Resources LLC,57201,W0371,FPL Energy Montezuma Winds LLC,CA,36.8,90589,90589
2016,NextEra Energy Resources LLC,57701,W0392,Montezuma Wind II,CA,78.2,152043,152043
2016,NextEra Energy Resources LLC,57700,W0394,Vasco Wind Energy Center,CA,78.2,236403,236403
2016,NextEra Energy Resources LLC,50013,W0423,Diablo Wind LLC,CA,18.0,63335,63335
2016,North Sky River Energy LLC,58121,W0414,North Sky River LLC,CA,162.0,464374,464374
2016,Not Available,50552,W0258,Cabazon Wind Partners LLC,CA,40.9,116857,116857
2016,Not Available,50532,W0271,Wind Stream Operations 6039 (Zond Systems  Inc - 6039),CA,6.3,9048,9048
2016,Not Available,50532,W0272,Wind Stream Operations 6040 (Zond Systems  Inc - 6040),CA,6.7,10714,10714
2016,Not Available,50532,W0273,Wind Stream Operations 6041 (Zond Systems  Inc - 6041),CA,4.5,6153,6153
2016,Not Available,56570,W0274,Wind Stream Operations 6042 (Zond Systems  Inc - 6042),CA,6.3,8511,8511
2016,Not Available,52161,W0275,85A (Zond Systems  Inc - 6043),CA,14.1,15921,15921
2016,Not Available,52163,W0276,85B (Zond Systems  Inc - 6044),CA,21.1,20376,20376
2016,Not Available,50536,W0289,Sky River Partnership (ESI Energy  Inc - 6065),CA,70.7,136624,136624
2016,Not Available,Missing,W0304,Victory Gardens IV (6103),CA,20.7,34093,34093
2016,Not Available,52161,W0306,Terra-Gen 251 Wind (Zond Monolith X),CA,16.9,22830,22830
2016,Not Available,Missing,W0310,Wind Stream Operations 6111 (AES Tehachapi Wind - Zond Systems  Inc - Northwind),CA,6.3,7704,7704
2016,Not Available,50533,W0311,Painted Hills Wind Developers (Zond Systems Inc - 6112),CA,19.2,33058,33058
2016,Not Available,50534,W0331,Santa Clara 85C - Decommissioned 7/1/2016,CA,16.0,9604,9604
2016,Oasis Power Partners LLC,56302,W0385,Oasis Power Partners LLC,CA,60.0,180671,180671
2016,Pettern Energy (Ocotillo LLC),57514,W0409,Ocotillo Express LLC,CA,265.4,530435,530435
2016,Ridgetop Energy LLC,54931,W0265,Ridgetop Energy II (Cannon Energy Corp),CA,46.9,151109,151109
2016,Ridgetop Energy LLC,10597,W0297,Ridgetop Energy (Cannon Energy Corp - 6092),CA,28.5,55899,55899
2016,San Gorgornio Farms Inc,50281,W0261,San Gorgonio Farms Wind Farm,CA,30.9,88025,88025
2016,San Gorgornio Farms Inc,10718,W0286,Karen Avenue Wind Farm,CA,11.7,27636,27636
2016,Seawest Energy Group,54258,W0277,Phoenix Wind (Section 20 Trust),CA,2.1,0,0
2016,Seawest Energy Group,50820,W0278,East Winds Project (NAWP Inc),CA,3.0,7125,7125
2016,Seawest Energy Group,40485,W0292,Altech III (NAWP Inc. - 6087),CA,25.1,32145,32145
2016,Seawest Energy Group,57302,W0299,Green Power I (Dutch Energy Corp),CA,16.2,22578,22578
2016,Seawest Energy Group,56075,W0355,High Winds,CA,162.0,312407,312407
2016,Seawest Energy Group,58092,W0356,Solano Wind 3 (SMUD Solano Phase 1),CA,127.8,349975,349975
2016,See WPRS for details,Missing,W0259,Mogul Energy,CA,4.0,908,908
2016,See WPRS for details,50386,W0262,Windland Inc Boxcar I,CA,7.5,17572,17572
2016,See WPRS for details,Missing,W0301,Windland Inc Boxcar II,CA,7.8,18588,18588
2016,See WPRS for details,50754,W0319,Oak Creek Wind Power,CA,31.5,66279,66279
2016,See WPRS for details,10586,W0360,Mountain View III,CA,22.4,73551,73551
2016,See WPRS for details,54686,W0374,Difwind Farms Ltd VI,CA,23.0,38405,38405
2016,See WPRS for details,54453,W0380,EDF Renewable Windfarm V Inc (ENXCO V),CA,15.5,25941,25941
2016,See WPRS for details,Missing,W0390,Golden Acorn Casino,CA,1.0,3542,3542
2016,See WPRS for details,Missing,W0413,WAGNER WIND LLC,CA,6.0,19161,19161
2016,See WPRS for details,Missing,W0420,Manzana Wind,CA,189.0,539071,539071
2016,See WPRS for details,Missing,W0421,Shiloh III Wind Project LLC,CA,102.5,260264,260264
2016,See WPRS for details,Missing,W0422,Shiloh IV Wind Project LLC,CA,102.5,282860,282860
2016,See WPRS for details,Missing,W0426,Buena Vista Energy LLC,CA,38.0,94963,94963
2016,See WPRS for details,Missing,W0429,Helzel & Schwarzhoff 88 (Decommissioned 3/31/2016),CA,1.5,437,437
2016,See WPRS for details,Missing,W0430,Mountain View IV,CA,49.0,170594,170594
2016,See WPRS for details,Missing,W0437,Wintec Energy #2-A,CA,1.3,3838,3838
2016,See WPRS for details,59236,W0438,Rising Tree Wind Farm III,CA,99.0,321253,321253
2016,See WPRS for details,Missing,W0439,Dutch Energy Wind Farm,CA,9.5,18801,18801
2016,See WPRS for details,Missing,W0440,Garnet Wind Energy Center,CA,6.5,18632,18632
2016,See WPRS for details,Missing,W0441,Alta X Wind Energy Center,CA,136.8,364573,364573
2016,See WPRS for details,Missing,W0442,Alta XI Wind Energy Center,CA,89.7,276093,276093
