County,Sector,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
LAKE,Non-Residential,167.527971,158.761639,154.671796,155.889511,167.398119,163.889304,161.169835,159.379856,163.180679,170.782145,169.708926,384.035252,365.083572,286.985726,291.99001
LAKE,Residential,303.272552,282.515074,276.406893,285.517511,302.440947,302.247964,298.350237,294.508814,289.335412,284.677643,275.057731,269.067339,259.079053,256.934903,243.787239
LAKE,Total,470.800523,441.276713,431.078689,441.407022,469.839066,466.137268,459.520073,453.88867,452.516091,455.459788,444.766658,653.102591,624.162625,543.920629,535.777249
LASSEN,Non-Residential,283.389542,322.717841,268.74243,301.549333,293.209529,278.335754,274.140041,254.630498,285.805885,157.543524,149.038617,184.401874,184.685297,189.128716,162.22731
LASSEN,Residential,102.154931,99.557021,94.823925,94.188136,104.37264,102.255359,103.659073,104.821915,106.525141,107.036253,104.110912,106.142579,105.254849,102.440584,99.290481
LASSEN,Total,385.544473,422.274862,363.566356,395.737469,397.582169,380.591113,377.799113,359.452412,392.331026,264.579778,253.14953,290.544454,289.940146,291.5693,261.517791
LOS ANGELES,Non-Residential,48100.30581,49141.2122,49130.46003,49193.41462,47746.27276,48192.63029,48139.85453,48546.06737,49370.91358,50976.72315,50727.1009,50560.89477,50281.71599,49707.008,49458.88193
LOS ANGELES,Residential,19468.93666,20330.1864,20471.56454,20752.65642,20620.15513,21082.23629,20069.35877,19726.42373,20594.68006,21118.10089,20537.01783,20378.138,19711.89407,19507.88669,19056.85228
LOS ANGELES,Total,67569.24247,69471.3986,69602.02457,69946.07105,68366.42789,69274.86658,68209.2133,68272.49109,69965.59364,72094.82404,71264.11872,70939.03276,69993.61007,69214.89469,68515.73422
MADERA,Non-Residential,1151.059178,1188.879411,1277.84973,1238.300843,1147.97225,1099.580627,971.557485,969.799908,1020.169297,1008.883639,963.521122,790.018482,769.200732,816.721766,732.58137
MADERA,Residential,450.737578,421.339277,421.33341,425.870483,429.739912,430.573951,415.392697,408.542668,415.226277,411.179218,408.06461,399.850532,381.311175,373.243051,361.71523
MADERA,Total,1601.796756,1610.218688,1699.183139,1664.171326,1577.712162,1530.154577,1386.950182,1378.342576,1435.395574,1420.062857,1371.585732,1189.869015,1150.511907,1189.964817,1094.296599
MARIN,Non-Residential,718.346727,689.689438,701.612393,701.843583,711.054694,701.016599,707.516974,724.084848,753.590865,761.60301,742.560372,723.039457,714.385071,741.02603,724.285949
MARIN,Residential,676.866067,653.070849,653.265528,653.434023,684.917198,689.884273,702.366977,702.84108,708.287373,704.375373,704.555416,705.118701,689.811537,687.877894,660.732058
MARIN,Total,1395.212795,1342.760287,1354.877922,1355.277606,1395.971892,1390.900872,1409.883951,1426.925928,1461.878238,1465.978383,1447.115788,1428.158158,1404.196608,1428.903924,1385.018007
MARIPOSA,Non-Residential,40.183869,38.92612,39.307825,41.324392,41.643963,40.820775,39.031094,39.757618,47.318097,58.134492,55.162354,38.474396,36.165623,38.479444,40.124197
MARIPOSA,Residential,72.981964,69.065553,67.60943,68.640691,71.816597,72.384377,71.899028,72.567127,72.861885,73.078004,72.471608,69.983501,67.413264,67.784376,65.009402
MARIPOSA,Total,113.165833,107.991673,106.917256,109.965083,113.46056,113.205152,110.930121,112.324745,120.179982,131.212496,127.633961,108.457897,103.578888,106.26382,105.133598
MENDOCINO,Non-Residential,280.263447,279.60964,273.749144,269.515387,269.41812,269.319601,266.736656,261.06117,262.310492,279.166031,283.28679,397.165962,406.565017,287.497035,279.7533
MENDOCINO,Residential,312.762915,300.893534,294.172808,295.433059,324.654025,333.350749,337.50544,340.030182,340.437699,338.77817,331.108021,314.159273,295.527969,285.009445,265.381675
MENDOCINO,Total,593.026362,580.503174,567.921952,564.948446,594.072145,602.67035,604.242096,601.091353,602.748191,617.944201,614.394812,711.325235,702.092987,572.50648,545.134975
MERCED,Non-Residential,3233.514738,2769.552926,2222.147168,2307.423763,2363.376237,2604.44882,2983.156777,2739.747254,2066.361868,2056.047365,3010.018533,2154.070825,2275.393874,2470.246335,2264.325693
MERCED,Residential,753.246511,702.848973,706.260171,718.838588,697.654027,703.847811,676.883289,657.882252,676.713937,668.964374,657.953164,654.58069,620.884598,612.59431,593.033773
MERCED,Total,3986.761249,3472.4019,2928.407339,3026.262351,3061.030264,3308.296631,3660.040066,3397.629506,2743.075804,2725.011739,3667.971697,2808.651515,2896.278472,3082.840645,2857.359467
